index,Brooklyn,Queens,Manhattan,Bronx,Staten Island
10000,17.4379,16.1399,17.9459,17.6212,19.0628
10500,17.5555,16.2636,17.9569,17.8148,19.2386
11000,17.742,16.3133,18.1025,17.7908,19.321
11500,17.7544,16.5083,18.2038,17.6858,19.5565
12000,17.8442,16.4986,18.2885,17.6682,19.6893
12500,17.8669,16.5965,18.1913,17.6248,19.5869
13000,18.0391,16.5726,18.2131,17.564,
13500,17.987,16.6047,18.3826,17.6558,
14000,17.9149,16.77,18.2762,17.7784,
14500,17.8925,16.801,18.1492,17.9496,
15000,17.8611,16.9787,17.847,18.2606,
15500,17.8895,17.2559,17.6925,18.5798,
16000,17.9762,17.5185,17.6779,18.8146,
16500,18.0117,17.9091,17.7215,18.8702,
17000,18.131,18.2027,17.5551,18.8586,
17500,18.2647,18.4368,17.5276,18.994,
18000,18.5581,18.4192,17.4745,19.088,
18500,18.991,18.704,17.5546,19.0848,
19000,19.4608,19.0665,17.4449,19.3047,
19500,19.7614,19.2111,17.4881,19.5385,
20000,19.9551,19.644,17.5392,19.568,
20500,20.0196,19.915,17.5974,19.6562,
21000,20.2604,20.057,17.6196,19.6968,
21500,20.4147,20.0081,17.4973,19.8279,
22000,20.5894,20.0241,17.4812,19.9451,
22500,20.6378,20.0126,17.4918,20.1664,
23000,20.4217,20.2437,17.489,20.3812,
23500,20.4678,20.3448,17.4753,20.4759,
24000,20.6757,20.1958,17.5174,20.7939,
24500,20.8389,20.4142,17.6705,20.9102,
25000,20.8808,20.2876,17.9017,20.8056,
25500,20.9346,20.2531,18.065,20.5844,
26000,20.9556,20.0282,18.1828,20.7263,
26500,21.201,19.5616,18.184,20.665,
27000,21.2574,19.3676,18.323,20.7142,
27500,21.4057,19.2538,18.4526,20.8146,
28000,21.5271,19.286,18.6419,20.9956,
28500,21.3323,19.0281,18.6171,21.1903,
29000,21.0365,18.7394,18.6263,21.3461,
29500,20.7537,18.6823,18.7937,21.2909,
30000,20.6274,18.3752,18.8091,21.5024,
30500,20.6681,18.2056,18.909,21.8085,
31000,20.3723,18.1675,19.2178,22.1691,
31500,20.1105,18.1238,19.4664,22.253,
32000,19.8448,18.0575,19.6864,22.3982,
32500,19.7065,17.9701,19.9064,22.4641,
33000,19.6371,17.7716,20.0292,22.4342,
33500,19.4534,17.8371,20.1168,22.6958,
34000,19.1931,18.0008,20.3972,22.6816,
34500,18.9876,17.9426,20.4691,22.8069,
35000,18.9829,18.0109,20.4814,,
35500,19.0014,17.9598,20.5686,,
36000,18.9329,18.1853,20.7146,,
36500,18.6362,18.469,20.7651,,
37000,18.4118,18.6973,20.8255,,
37500,18.2881,18.6911,20.9074,,
38000,18.133,18.5621,20.9485,,
38500,17.9237,18.7291,20.8731,,
39000,17.9056,18.8074,20.8094,,
39500,17.954,18.9802,20.7132,,
40000,18.0804,19.168,20.7939,,
40500,17.9529,19.281,20.8682,,
41000,18.1516,19.5885,20.4963,,
41500,18.3317,19.8399,20.4528,,
42000,18.509,20.3239,20.4511,,
42500,18.847,20.7063,20.2853,,
43000,18.9003,20.9473,20.3327,,
43500,18.9763,21.1433,20.2588,,
44000,19.1961,21.0991,20.3217,,
44500,19.2664,21.3129,20.2686,,
45000,19.1981,21.3997,20.275,,
45500,19.383,21.4324,20.2005,,
46000,19.6161,21.5209,20.1612,,
46500,19.8915,21.7583,20.1865,,
47000,20.1939,21.764,20.1168,,
47500,20.622,22.1435,19.7724,,
48000,20.7007,22.2434,19.4531,,
48500,20.9416,22.2184,19.5164,,
49000,21.1028,22.3107,19.6229,,
49500,21.2083,22.3757,19.5128,,
50000,21.3034,22.2544,19.386,,
50500,21.5293,22.0677,19.2252,,
51000,21.5164,21.6566,19.1875,,
51500,21.8537,21.5561,19.1404,,
52000,22.0405,21.246,18.8813,,
52500,21.9637,20.9236,19.0728,,
53000,22.3655,20.7866,18.9967,,
53500,22.566,20.5471,18.856,,
54000,22.5958,20.6762,18.6202,,
54500,22.5616,20.4423,18.4534,,
55000,22.6839,20.3982,18.5436,,
55500,22.4369,20.2867,18.6273,,
56000,22.1885,20.1683,18.553,,
56500,22.0378,19.7707,18.631,,
57000,21.8635,19.4973,18.6658,,
57500,21.555,19.2234,18.8539,,
58000,21.4182,19.3809,18.8551,,
58500,21.4597,19.3654,18.7775,,
59000,21.5003,19.4177,18.7116,,
59500,21.4487,19.1298,18.6835,,
60000,21.3081,19.0195,18.6093,,
60500,21.1647,18.9523,18.7242,,
61000,21.0681,19.1631,18.7822,,
61500,20.7652,19.1232,18.723,,
62000,20.6281,19.1805,18.8842,,
62500,20.5337,19.3404,18.7865,,
63000,20.295,19.2902,18.7174,,
63500,20.2934,19.2914,18.9379,,
64000,20.3595,19.0267,18.9256,,
64500,20.3966,19.092,18.9653,,
65000,20.3953,19.0946,18.8939,,
65500,20.4053,19.325,18.7777,,
66000,20.5737,19.323,18.8093,,
66500,20.4903,19.5752,18.862,,
67000,20.4396,19.536,19.0107,,
67500,20.3749,19.6416,19.272,,
68000,20.3318,19.6591,19.5994,,
68500,20.2449,19.8635,19.6155,,
69000,20.1176,19.9343,19.5198,,
69500,20.1837,20.1326,19.4653,,
70000,20.1583,20.4071,19.5914,,
70500,20.0278,20.6919,19.664,,
71000,20.1494,20.9896,19.7276,,
71500,20.2208,21.1873,19.7008,,
72000,20.2245,21.2844,19.7463,,
72500,20.1453,21.4024,19.7579,,
73000,19.9631,21.6628,20.0239,,
73500,19.8497,21.9528,20.1393,,
74000,19.7636,22.3646,20.2627,,
74500,19.6329,22.5422,20.4767,,
75000,19.5882,22.8018,20.6658,,
75500,19.825,22.9498,20.7304,,
76000,19.8998,23.1503,20.8999,,
76500,20.2729,23.3813,20.9762,,
77000,20.5381,23.7851,20.9391,,
77500,20.5941,23.8777,20.9127,,
78000,20.9128,23.9745,20.8691,,
78500,21.1289,24.1059,21.0716,,
79000,21.1753,24.1606,21.243,,
79500,21.2877,24.4002,21.4879,,
80000,21.5507,24.3298,21.6545,,
80500,21.7806,24.1628,21.5914,,
81000,21.9418,24.0911,21.8882,,
81500,21.9883,24.2949,22.1332,,
82000,22.1311,24.2684,22.1345,,
82500,22.2357,24.2379,22.1288,,
83000,22.4189,24.3179,22.0996,,
83500,22.6592,24.264,22.1661,,
84000,22.732,24.3624,22.2373,,
84500,23.1397,24.4115,22.1804,,
85000,23.3329,24.405,22.2621,,
85500,23.3701,24.3791,22.2908,,
86000,23.1863,24.2957,22.2623,,
86500,22.9666,24.2163,22.0228,,
87000,22.9305,24.1959,21.9916,,
87500,22.9893,,21.769,,
88000,22.9667,,21.6826,,
88500,22.8673,,21.4936,,
89000,23.0724,,21.5294,,
89500,23.2274,,21.4366,,
90000,23.2753,,21.4992,,
90500,23.5483,,21.3947,,
91000,23.488,,21.2841,,
91500,23.65,,21.0831,,
92000,23.5659,,20.9729,,
92500,23.6333,,21.1278,,
93000,23.7002,,20.94,,
93500,23.8338,,20.725,,
94000,23.9414,,20.5529,,
94500,23.972,,20.4492,,
95000,24.1283,,20.1822,,
95500,24.1732,,20.2517,,
96000,24.3359,,20.0011,,
